id,text,file_path,otreatment,opatient,iprocedure,iss,idiagnostic,podisease,prss,prdisease,poage,idiagnostictest,poss,idisease,posize,potreatment,pophyconditon,pogender,poprocedure,pomedhistory,prbehavior,poclinical
0,thus 70 patients group a and 56 patients group b entered the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.072854266,0.05936531,0.340542465,0.09194202,0.102869496,0.159463868,0.049096283,0.1267948,0.09315569,0.065820038,0.067152821,0.057316974,0.41548273,0.053075124,0.083739892,0.136300221,0.04715167,0.038311671,0.050403729,0.063342176
1,fifty five patients 44 had an acute infarction 37 67 of those also had undergone angioplasty and the remaining 71 patients 56 were enrolled after angioplasty only,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.085603721,0.064940549,0.172512367,0.089764714,0.101280309,0.335772991,0.05178,0.112076692,0.191920146,0.077729911,0.128379241,0.063322447,0.317804873,0.063677996,0.1165381,0.152259499,0.050735351,0.049378622,0.059570249,0.057958614
2,patients 75 years old diabetics fasting blood glucose 125 mg dl patients with postcoronary artery bypass graft known malignant disease serious kidney or liver dysfunction creatimine 1 5 mg dl alanine aminotransferase and aspartate aminotransferase 2 times normal value or women of child bearing age not using a reliable form of contra ception were excluded,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.10259182,0.074833564,0.124802411,0.090007834,0.103671856,0.424871892,0.064980812,0.112025961,0.229492843,0.091352254,0.173047572,0.068558589,0.182501823,0.062522545,0.123329729,0.129799992,0.057590123,0.052981626,0.063222699,0.050788287
3,to achieve ldl cholesterol levels of 130 mg dl the pravastatin dosage was increased to 40 mg day and nicotinic acid 1 5 to 6 g day and or cholestyramine 4 to 32 g day were added if necessary,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.093088314,0.06649977,0.664540827,0.062981009,0.075765237,0.058100011,0.059167847,0.06082375,0.053944305,0.059398152,0.040589985,0.050012752,0.079825886,0.034650706,0.046433408,0.053821616,0.033506021,0.032625768,0.029485766,0.037292942
4,a total of 4 patients died,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.078408547,0.053402402,0.234803692,0.07048852,0.078632884,0.123999633,0.041276641,0.089613043,0.075733721,0.057667874,0.055744566,0.046675134,0.250952154,0.044103608,0.064718835,0.08562573,0.032038976,0.033225231,0.036892597,0.041956749
5,pravastatin was effective in reducing cardiovascular events and in slowing the progression of atherosclerosis in primary and secondary prevention populations,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.633387208,0.151771635,0.098701835,0.054323673,0.05996827,0.054893669,0.072423264,0.078472212,0.05069628,0.046340555,0.044750758,0.048391417,0.040840857,0.037366215,0.040882047,0.042503268,0.046883307,0.029470876,0.028784744,0.030001214
6,in contrast the occurrence and extent of decreases in mld are lower with intensive therapy c compared with standard care d,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.6527825,0.161311373,0.098248199,0.056602906,0.062838279,0.056130625,0.071161509,0.076333836,0.050005808,0.044364549,0.045862101,0.05101322,0.045790397,0.039569125,0.045323357,0.045355596,0.047268715,0.030334095,0.029755771,0.032127298
7,objective to compare the efficacy of oral with vaginal misoprostol for induction of labour at term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.242369324,0.088692971,0.241986915,0.070261195,0.074286312,0.152590439,0.093997329,0.319950193,0.051076367,0.078867681,0.064447574,0.053531885,0.14079985,0.040264376,0.062162224,0.085693948,0.063054897,0.035249289,0.028018659,0.049421381
8,a total of 160 women completed the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.090487875,0.064911596,0.270455748,0.10376481,0.103539981,0.169226989,0.05364373,0.14273724,0.095809169,0.07147038,0.074098967,0.061015029,0.442173094,0.063696139,0.089290157,0.151147917,0.053728014,0.043267034,0.058968659,0.069532797
9,exclusion criteria included previous uterine scar oligohydramnios amniotic uid index 2 5 th centile 19 intrauterine growth restriction estimated fetal weight 10 th centile 20 prelabour rupture of membranes multifetal pregnancy and cervix favourable for amniotomy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.093976825,0.0620046,0.122328706,0.067776084,0.081878953,0.27078408,0.051081475,0.107711025,0.121067397,0.065151185,0.103179283,0.052060999,0.131009296,0.043797363,0.08379633,0.081383035,0.041385088,0.035815269,0.038501896,0.034839753
