,text,predicted_posize,value_posize,predicted_podisease,value_podisease,predicted_poage,value_poage,predicted_poss,value_poss,predicted_prdisease,value_prdisease,predicted_pogender,value_pogender,predicted_poprocedure,value_poprocedure,predicted_prss,value_prss,predicted_potreatment,value_potreatment,predicted_pophyconditon,value_pophyconditon,predicted_prbehavior,value_prbehavior,predicted_pomedhistory,value_pomedhistory,predicted_poclinical,value_poclinical,predicted_iprocedure,value_iprocedure,predicted_idiagnostic,value_idiagnostic,predicted_idisease,value_idisease,predicted_idiagnostictest,value_idiagnostictest,predicted_iss,value_iss,predicted_otreatment,value_otreatment,predicted_opatient,value_opatient
0,70 patients group a and 56 patients group b,0.230671063,1,0.164800942,0,0.094601221,0,0.082342684,0,0.074065655,0,0.06593392,0,0.04362138,0,0.05428772,0,0.05543169,0,0.064142399,0,0.037426565,0,0.051394466,0,0.053597078,0,0.222818345,0,0.087337799,0,0.052040614,0,0.062663786,0,0.07097026,0,0.125191301,0,0.089105152,0
1,fifty five patients 44 had an acute infarction 37 67 of those also had undergone angioplasty and the remaining 71 patients 56 were enrolled after angioplasty only,0.080812298,0,0.117324531,1,0.052872207,0,0.070859715,0,0.065951601,0,0.0494803,0,0.04739444,0,0.044910654,0,0.039334238,0,0.063269652,0,0.031746887,0,0.035568744,0,0.041705333,0,0.209501445,0,0.079297975,0,0.042765383,0,0.048280846,0,0.060528051,0,0.161644563,0,0.081390284,0
2,patients 75 years old diabetics fasting blood glucose 125 mg dl patients with postcoronary artery bypass graft known malignant disease serious kidney or liver dysfunction creatimine 1 5 mg dl alanine aminotransferase and aspartate aminotransferase 2 times normal value or women of child bearing age not using a reliable form of contra ception were excluded,0.075181551,0,0.128234968,1,0.053775694,0,0.073629163,0,0.074744165,0,0.047878899,0,0.052489322,0,0.052541681,0,0.042493101,0,0.066831477,0,0.035413906,0,0.035164393,0,0.043938458,0,0.173059791,0,0.086543933,0,0.048925564,0,0.050112464,0,0.065346822,0,0.194485635,0,0.084779844,0
3,pravastatin dosage was increased to 40 mg day and nicotinic acid 1 5 to 6 g day and or cholestyramine 4 to 32 g day were added if necessary,0.094543293,0,0.104693726,0,0.067126796,0,0.065265007,0,0.084339313,0,0.057382379,0,0.047278639,0,0.04773698,0,0.046382762,0,0.060729649,0,0.035846945,0,0.048470002,0,0.056545451,0,0.544413626,1,0.103286467,0,0.050342597,0,0.065123834,0,0.073892571,0,0.137212843,0,0.085763738,0
4,4 patients died,0.217031926,0,0.154388249,0,0.094805136,0,0.087017484,0,0.070445947,0,0.072636612,0,0.048775908,0,0.05266583,0,0.052702628,0,0.068725988,0,0.040569793,0,0.049897984,0,0.050657313,0,0.170129135,0,0.079960398,0,0.049477924,0,0.063422702,0,0.068645805,1,0.135480866,0,0.092567265,0
5,pravastatin was effective in reducing cardiovascular events and in slowing the progression of atherosclerosis,0.067289881,0,0.096224457,0,0.059574135,0,0.084967747,0,0.11109484,0,0.061031424,0,0.073435083,0,0.068871304,0,0.048763625,0,0.083596691,0,0.04195952,0,0.045331012,0,0.047952563,0,0.14471747,0,0.102525674,0,0.070661828,0,0.060787775,0,0.084070794,0,0.393325686,0,0.121493399,1
6,the occurrence and extent of decreases in mld are lower with intensive therapy c compared with standard care d,0.063620448,0,0.096954018,0,0.056022529,0,0.080555975,0,0.101501845,0,0.059334263,0,0.071271382,0,0.061772466,0,0.044471107,0,0.083052158,0,0.038757741,0,0.041442547,0,0.044336285,0,0.147207707,0,0.099309132,0,0.062796988,0,0.058319565,0,0.077741735,0,0.355920076,1,0.117445737,0
7,the efficacy of oral with vaginal misoprostol for induction of labour at term,0.064479426,0,0.093952529,0,0.05628635,0,0.078727037,0,0.104772188,1,0.056173831,0,0.069610275,0,0.063795231,0,0.044751767,0,0.078197405,0,0.0389111,0,0.041870933,0,0.044782113,0,0.153632134,0,0.100392692,0,0.06456469,0,0.058734942,0,0.07861302,0,0.354956776,0,0.11437919,0
8,160 women,0.306284785,1,0.165804535,0,0.11543639,0,0.089339294,0,0.080632664,0,0.08685524,1,0.04898015,0,0.056823995,0,0.061712958,0,0.071568795,0,0.045491591,0,0.062297229,0,0.060507789,0,0.201948121,0,0.088772871,0,0.055999506,0,0.075478129,0,0.074958719,0,0.130760759,0,0.10547021,0
9,exclusion criteria included previous uterine scar oligohydramnios amniotic uid index 2 5 th centile 19 intrauterine growth restriction estimated fetal weight 10 th centile 20 prelabour rupture of membranes multifetal pregnancy and cervix favourable for amniotomy,0.080917381,0,0.133346677,1,0.056507695,0,0.076197334,0,0.067702249,0,0.048675269,0,0.04881731,0,0.049079675,0,0.042201918,0,0.068837903,0,0.034451056,0,0.036711246,0,0.044555478,0,0.197134748,0,0.082969017,0,0.044122685,0,0.052187596,0,0.06104238,0,0.159848481,0,0.081177063,0
