id,text,file_path,p,i,o
0,thus 70 patients group a and 56 patients group b entered the study,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,1,0,0
1,fifty five patients 44 had an acute infarction 37 67 of those also had undergone angioplasty and the remaining 71 patients 56 were enrolled after angioplasty only,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,1,0,0
2,patients 75 years old diabetics fasting blood glucose 125 mg dl patients with postcoronary artery bypass graft known malignant disease serious kidney or liver dysfunction creatimine 1 5 mg dl alanine aminotransferase and aspartate aminotransferase 2 times normal value or women of child bearing age not using a reliable form of contra ception were excluded,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,1,0,0
3,to achieve ldl cholesterol levels of 130 mg dl the pravastatin dosage was increased to 40 mg day and nicotinic acid 1 5 to 6 g day and or cholestyramine 4 to 32 g day were added if necessary,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,0,1,0
4,a total of 4 patients died,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,0,1,0
5,pravastatin was effective in reducing cardiovascular events and in slowing the progression of atherosclerosis in primary and secondary prevention populations,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,0,0,1
6,in contrast the occurrence and extent of decreases in mld are lower with intensive therapy c compared with standard care d,F:\PythonProjects\TestFastBert\PICOElement\11113401_element.csv,0,0,1
7,objective to compare the efficacy of oral with vaginal misoprostol for induction of labour at term,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,1,0,0
8,a total of 160 women completed the study,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,1,0,0
9,exclusion criteria included previous uterine scar oligohydramnios amniotic uid index 2 5 th centile 19 intrauterine growth restriction estimated fetal weight 10 th centile 20 prelabour rupture of membranes multifetal pregnancy and cervix favourable for amniotomy,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,1,0,0
10,all women had electronic fetal heart rate monitoring for 45 minutes prior to and following administration of each misoprostol dose,F:\PythonProjects\TestFastBert\PICOElement\11212999_element.csv,0,1,0
