,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"('iprocedure', 0.14699868857860565)","('posize', 0.04919458553195)","('podisease', 0.02862786315381527)","('otreatment', 0.02803359553217888)","('idiagnostic', 0.025419160723686218)","('opatient', 0.02425510808825493)","('prdisease', 0.02370438724756241)","('pogender', 0.019531074911355972)","('poage', 0.017702553421258926)","('idiagnostictest', 0.01668209210038185)","('iss', 0.016621336340904236)","('pophyconditon', 0.015715129673480988)","('poss', 0.014336935244500637)","('prss', 0.011589111760258675)","('poprocedure', 0.011035900563001633)","('potreatment', 0.010665927082300186)","('idisease', 0.00897439569234848)","('pomedhistory', 0.007450566161423922)","('prbehavior', 0.00722614536061883)","('poclinical', 0.00681008817628026)"
1,"('podisease', 0.10819129645824432)","('iprocedure', 0.07224849611520767)","('posize', 0.06543029844760895)","('poage', 0.049732912331819534)","('prdisease', 0.044337235391139984)","('idiagnostic', 0.034076254814863205)","('pogender', 0.033773504197597504)","('pophyconditon', 0.03202260285615921)","('opatient', 0.029276704415678978)","('poss', 0.027506062760949135)","('otreatment', 0.02586284652352333)","('iss', 0.025313150137662888)","('idiagnostictest', 0.025052906945347786)","('poprocedure', 0.016781972721219063)","('prss', 0.015151548199355602)","('idisease', 0.01502991747111082)","('potreatment', 0.013191252946853638)","('pomedhistory', 0.013183744624257088)","('prbehavior', 0.009206795133650303)","('poclinical', 0.008088242262601852)"
2,"('podisease', 0.2706238031387329)","('iprocedure', 0.0934198722243309)","('posize', 0.08321666717529297)","('prdisease', 0.07775479555130005)","('pophyconditon', 0.07540327310562134)","('poage', 0.0745633915066719)","('idiagnostic', 0.059939026832580566)","('poss', 0.0482141338288784)","('opatient', 0.03664807975292206)","('iss', 0.0358748584985733)","('pogender', 0.03401590511202812)","('otreatment', 0.033323489129543304)","('pomedhistory', 0.0328235886991024)","('idiagnostictest', 0.03094124048948288)","('idisease', 0.03062439151108265)","('poprocedure', 0.02814791351556778)","('prss', 0.023273762315511703)","('poclinical', 0.018499622121453285)","('potreatment', 0.016040725633502007)","('prbehavior', 0.014190158806741238)"
3,"('iprocedure', 0.4844282269477844)","('posize', 0.06013529375195503)","('idiagnostic', 0.044347431510686874)","('otreatment', 0.03957417607307434)","('prdisease', 0.03674633428454399)","('podisease', 0.036070503294467926)","('pogender', 0.03278534114360809)","('opatient', 0.032613612711429596)","('poss', 0.02499580755829811)","('iss', 0.024879025295376778)","('idiagnostictest', 0.02433626726269722)","('pophyconditon', 0.022982103750109673)","('poage', 0.021810973063111305)","('potreatment', 0.01993691921234131)","('idisease', 0.019396347925066948)","('prss', 0.01866105943918228)","('poclinical', 0.01776950992643833)","('poprocedure', 0.017172105610370636)","('pomedhistory', 0.016334718093276024)","('prbehavior', 0.012844634242355824)"
4,"('iprocedure', 0.06340276449918747)","('posize', 0.04080875962972641)","('podisease', 0.03409353271126747)","('otreatment', 0.033034030348062515)","('opatient', 0.02581920102238655)","('prdisease', 0.024841947481036186)","('idiagnostic', 0.0220881849527359)","('poage', 0.019590919837355614)","('pogender', 0.017978506162762642)","('pophyconditon', 0.017055131494998932)","('iss', 0.016766095533967018)","('idiagnostictest', 0.015385988168418407)","('poss', 0.013926168903708458)","('prss', 0.011067504063248634)","('poprocedure', 0.01051301695406437)","('potreatment', 0.009980959817767143)","('idisease', 0.008266158401966095)","('pomedhistory', 0.007025397382676601)","('prbehavior', 0.006515309680253267)","('poclinical', 0.005546822678297758)"
5,"('otreatment', 0.5687076449394226)","('opatient', 0.10089521110057831)","('prdisease', 0.04664082080125809)","('iprocedure', 0.043534375727176666)","('podisease', 0.038431767374277115)","('iss', 0.03699599951505661)","('idiagnostic', 0.03461979702115059)","('posize', 0.03147396817803383)","('pophyconditon', 0.029508959501981735)","('prss', 0.025594113394618034)","('poss', 0.023303769528865814)","('idiagnostictest', 0.02311098948121071)","('poage', 0.02304278314113617)","('potreatment', 0.02232096716761589)","('pogender', 0.022133009508252144)","('poprocedure', 0.02207002229988575)","('idisease', 0.019596625119447708)","('prbehavior', 0.01657017692923546)","('poclinical', 0.014623576775193214)","('pomedhistory', 0.014520463533699512)"
6,"('otreatment', 0.49206575751304626)","('opatient', 0.09856428951025009)","('iprocedure', 0.04079778864979744)","('prdisease', 0.039881449192762375)","('iss', 0.0347309447824955)","('podisease', 0.03437672182917595)","('idiagnostic', 0.03230726718902588)","('posize', 0.030854417011141777)","('pophyconditon', 0.025902260094881058)","('prss', 0.02269638702273369)","('poage', 0.021954622119665146)","('poss', 0.021858328953385353)","('idiagnostictest', 0.021649040281772614)","('pogender', 0.019931204617023468)","('potreatment', 0.01993034966289997)","('poprocedure', 0.01924281194806099)","('idisease', 0.016672130674123764)","('prbehavior', 0.014627817086875439)","('poclinical', 0.012946916744112968)","('pomedhistory', 0.01294319424778223)"
7,"('otreatment', 0.049983784556388855)","('iprocedure', 0.04305332154035568)","('podisease', 0.041898392140865326)","('prdisease', 0.031681548804044724)","('posize', 0.03154342994093895)","('opatient', 0.02803909219801426)","('idiagnostic', 0.02216198854148388)","('poage', 0.02009155973792076)","('pophyconditon', 0.01901806890964508)","('iss', 0.018085794523358345)","('pogender', 0.017832135781645775)","('idiagnostictest', 0.015039852820336819)","('poss', 0.014764513820409775)","('prss', 0.011479489505290985)","('poprocedure', 0.010355326347053051)","('potreatment', 0.010327056050300598)","('idisease', 0.00869863759726286)","('pomedhistory', 0.007578682620078325)","('prbehavior', 0.00607506325468421)","('poclinical', 0.0056557077914476395)"
8,"('iprocedure', 0.08068105578422546)","('posize', 0.05213699862360954)","('podisease', 0.03405793756246567)","('otreatment', 0.028139622882008553)","('opatient', 0.02677416428923607)","('prdisease', 0.025160308927297592)","('idiagnostic', 0.024597670882940292)","('poage', 0.022507863119244576)","('pogender', 0.01920582912862301)","('pophyconditon', 0.017478035762906075)","('iss', 0.017403334379196167)","('idiagnostictest', 0.017222410067915916)","('poss', 0.015452100895345211)","('prss', 0.012096269987523556)","('poprocedure', 0.011571241542696953)","('potreatment', 0.010677626356482506)","('idisease', 0.008964774198830128)","('prbehavior', 0.0078099193051457405)","('pomedhistory', 0.007344188634306192)","('poclinical', 0.005919166374951601)"
9,"('podisease', 0.23547963798046112)","('iprocedure', 0.08675874024629593)","('posize', 0.08021242171525955)","('prdisease', 0.0724153220653534)","('poage', 0.07212582230567932)","('pophyconditon', 0.06725203990936279)","('idiagnostic', 0.05746649205684662)","('poss', 0.04409230500459671)","('opatient', 0.03460368141531944)","('iss', 0.032498545944690704)","('pogender', 0.032474618405103683)","('otreatment', 0.030379023402929306)","('pomedhistory', 0.029458774253726006)","('idiagnostictest', 0.029398037120699883)","('idisease', 0.027056394144892693)","('poprocedure', 0.026186121627688408)","('prss', 0.022455159574747086)","('potreatment', 0.015910541638731956)","('poclinical', 0.015547405928373337)","('prbehavior', 0.013219550251960754)"
