,posize,podisease,iprocedure,iss,opatient,otreatment,prdisease,pogender,idiagnostic,idiagnostictest,poage,pophyconditon,idisease,prss,poss,potreatment,poprocedure,poclinical,prbehavior,pomedhistory,text,file_path
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thus 70 patients group a and 56 patients group b entered the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thus entered the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fifty five patients 44 had an acute infarction 37 67 of those also had undergone angioplasty and the remaining 71 patients 56 were enrolled after angioplasty only,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,patients 75 years old diabetics fasting blood glucose 125 mg dl patients with postcoronary artery bypass graft known malignant disease serious kidney or liver dysfunction creatimine 1 5 mg dl alanine aminotransferase and aspartate aminotransferase 2 times normal value or women of child bearing age not using a reliable form of contra ception were excluded,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to achieve ldl cholesterol levels of 130 mg dl the pravastatin dosage was increased to 40 mg day and nicotinic acid 1 5 to 6 g day and or cholestyramine 4 to 32 g day were added if necessary,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to achieve ldl cholesterol levels of 130 mg dl the,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a total of 4 patients died,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a total of,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pravastatin was effective in reducing cardiovascular events and in slowing the progression of atherosclerosis in primary and secondary prevention populations,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in primary and secondary prevention populations,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in contrast the occurrence and extent of decreases in mld are lower with intensive therapy c compared with standard care d,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in contrast,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,objective to compare the efficacy of oral with vaginal misoprostol for induction of labour at term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,objective to compare,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a total of 160 women completed the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a total of completed the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a total of completed the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exclusion criteria included previous uterine scar oligohydramnios amniotic uid index 2 5 th centile 19 intrauterine growth restriction estimated fetal weight 10 th centile 20 prelabour rupture of membranes multifetal pregnancy and cervix favourable for amniotomy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,all women had electronic fetal heart rate monitoring for 45 minutes prior to and following administration of each misoprostol dose,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all women had for 45 minutes prior to and following administration of each misoprostol dose,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,methods the women were randomised to receive 50 mg of misoprostol orally or vaginally every 6 h until the cervix was favourable for amniotomy spontaneous rupture of membranes or active labour occurred,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,methods the women were randomised to until the cervix was favourable for amniotomy spontaneous rupture of membranes or active labour occurred,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv
