,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"('otreatment', 0.3554585874080658)","('opatient', 0.11840494722127914)","('iprocedure', 0.11666389554738998)","('iss', 0.05815034732222557)","('idiagnostic', 0.055577587336301804)","('podisease', 0.05548940598964691)","('prss', 0.055005062371492386)","('prdisease', 0.05454964563250542)","('poage', 0.05439993366599083)","('idiagnostictest', 0.04629436507821083)","('poss', 0.04290653020143509)","('idisease', 0.04248594120144844)","('posize', 0.0382695272564888)","('potreatment', 0.0355285108089447)","('pophyconditon', 0.03533294424414635)","('pogender', 0.034266337752342224)","('poprocedure', 0.031804293394088745)","('pomedhistory', 0.028611768037080765)","('prbehavior', 0.0282975435256958)","('poclinical', 0.02430582046508789)"
1,"('otreatment', 0.5393930077552795)","('opatient', 0.13963566720485687)","('iprocedure', 0.10218343138694763)","('prdisease', 0.06714615225791931)","('prss', 0.06495189666748047)","('idiagnostic', 0.05684685707092285)","('iss', 0.05376368388533592)","('podisease', 0.05289321392774582)","('poage', 0.0512617826461792)","('idisease', 0.04548516124486923)","('idiagnostictest', 0.04372484236955643)","('poss', 0.04076762497425079)","('poprocedure', 0.040582075715065)","('posize', 0.039049167186021805)","('pophyconditon', 0.038184963166713715)","('pogender', 0.037906911224126816)","('potreatment', 0.03658594191074371)","('pomedhistory', 0.02897590585052967)","('prbehavior', 0.028514232486486435)","('poclinical', 0.027306294068694115)"
2,"('otreatment', 0.6094111204147339)","('opatient', 0.15497441589832306)","('iprocedure', 0.09194590896368027)","('prdisease', 0.07231352478265762)","('prss', 0.06722299754619598)","('idiagnostic', 0.059924833476543427)","('iss', 0.055809445679187775)","('podisease', 0.05473947525024414)","('poage', 0.05168280005455017)","('idisease', 0.048779916018247604)","('idiagnostictest', 0.04504797235131264)","('poprocedure', 0.044247038662433624)","('poss', 0.043479133397340775)","('posize', 0.042695287615060806)","('pophyconditon', 0.04135582223534584)","('pogender', 0.04135354235768318)","('potreatment', 0.0387532003223896)","('pomedhistory', 0.030252717435359955)","('poclinical', 0.030126992613077164)","('prbehavior', 0.029540371149778366)"
3,"('podisease', 0.3059159517288208)","('posize', 0.18928012251853943)","('poage', 0.15274199843406677)","('iprocedure', 0.13123060762882233)","('poss', 0.11560982465744019)","('pogender', 0.11007867753505707)","('prdisease', 0.10586439073085785)","('pophyconditon', 0.09388559311628342)","('otreatment', 0.09092915058135986)","('idiagnostic', 0.0885607972741127)","('iss', 0.07208357751369476)","('idiagnostictest', 0.06738217175006866)","('opatient', 0.06181027740240097)","('idisease', 0.05628126859664917)","('potreatment', 0.049056220799684525)","('prss', 0.04682115092873573)","('prbehavior', 0.04570077732205391)","('poprocedure', 0.043175701051950455)","('poclinical', 0.04150443151593208)","('pomedhistory', 0.03962137922644615)"
4,"('otreatment', 0.6104505062103271)","('opatient', 0.16225065290927887)","('iprocedure', 0.08906956017017365)","('prss', 0.06643615663051605)","('prdisease', 0.06549527496099472)","('idiagnostic', 0.061540063470602036)","('iss', 0.05852073058485985)","('podisease', 0.05768859013915062)","('poage', 0.05320277437567711)","('idisease', 0.050891391932964325)","('poss', 0.046996716409921646)","('idiagnostictest', 0.04537838324904442)","('posize', 0.04381288215517998)","('pophyconditon', 0.04338724911212921)","('poprocedure', 0.043375976383686066)","('pogender', 0.04213007912039757)","('potreatment', 0.04101790115237236)","('pomedhistory', 0.03151295334100723)","('prbehavior', 0.03147795796394348)","('poclinical', 0.030555039644241333)"
5,"('prdisease', 0.31271326541900635)","('iprocedure', 0.26496848464012146)","('otreatment', 0.19278492033481598)","('podisease', 0.1522843837738037)","('posize', 0.1442585587501526)","('prss', 0.08927497267723083)","('pogender', 0.0871574878692627)","('opatient', 0.08147045224905014)","('idiagnostictest', 0.07972513884305954)","('idiagnostic', 0.07330744713544846)","('iss', 0.06871289014816284)","('poss', 0.06382004171609879)","('pophyconditon', 0.06213957443833351)","('poprocedure', 0.06057208776473999)","('idisease', 0.05165385454893112)","('poage', 0.05034075304865837)","('poclinical', 0.04878532513976097)","('potreatment', 0.03894025832414627)","('pomedhistory', 0.0337056964635849)","('prbehavior', 0.02799615077674389)"
6,"('iprocedure', 0.6431434154510498)","('posize', 0.10480980575084686)","('otreatment', 0.08316156268119812)","('idiagnostic', 0.07589138299226761)","('prdisease', 0.061232440173625946)","('opatient', 0.060317594558000565)","('iss', 0.059807442128658295)","('podisease', 0.05922463908791542)","('pogender', 0.05727054178714752)","('idiagnostictest', 0.055685773491859436)","('poage', 0.052478887140750885)","('prss', 0.05086316168308258)","('pophyconditon', 0.04766160994768143)","('idisease', 0.04675106704235077)","('poss', 0.03791205585002899)","('poclinical', 0.036120057106018066)","('potreatment', 0.03301447629928589)","('poprocedure', 0.03145972639322281)","('pomedhistory', 0.03020128421485424)","('prbehavior', 0.028537224978208542)"
7,"('iprocedure', 0.6608750820159912)","('posize', 0.0915781557559967)","('otreatment', 0.08616436272859573)","('idiagnostic', 0.07709460705518723)","('opatient', 0.06390586495399475)","('prdisease', 0.0629952922463417)","('iss', 0.061205267906188965)","('podisease', 0.06073324382305145)","('pogender', 0.05688697099685669)","('idiagnostictest', 0.05533240735530853)","('prss', 0.05344894155859947)","('poage', 0.05236678570508957)","('pophyconditon', 0.04828350245952606)","('idisease', 0.04740113765001297)","('poss', 0.039193157106637955)","('poclinical', 0.03720960021018982)","('potreatment', 0.03321235999464989)","('poprocedure', 0.03225966915488243)","('pomedhistory', 0.030587105080485344)","('prbehavior', 0.028401367366313934)"
8,"('iprocedure', 0.4152422547340393)","('otreatment', 0.07880296558141708)","('posize', 0.07526026666164398)","('idiagnostic', 0.07077079266309738)","('podisease', 0.06518694758415222)","('opatient', 0.0604102648794651)","('poage', 0.05533759295940399)","('prdisease', 0.053467705845832825)","('iss', 0.05106149986386299)","('idiagnostictest', 0.04952860251069069)","('pogender', 0.04546942934393883)","('pophyconditon', 0.042888786643743515)","('prss', 0.04218503460288048)","('idisease', 0.04005761817097664)","('poss', 0.038802631199359894)","('potreatment', 0.03035058081150055)","('poclinical', 0.027355268597602844)","('pomedhistory', 0.027209559455513954)","('prbehavior', 0.025811942294239998)","('poprocedure', 0.025171468034386635)"
9,"('otreatment', 0.6627330183982849)","('opatient', 0.1611148715019226)","('iprocedure', 0.09495041519403458)","('prdisease', 0.07923505455255508)","('prss', 0.07272987812757492)","('idiagnostic', 0.062367890030145645)","('podisease', 0.05800175294280052)","('iss', 0.05526885762810707)","('poage', 0.05263034254312515)","('idisease', 0.05172133073210716)","('poprocedure', 0.04765036702156067)","('poss', 0.04673226177692413)","('pogender', 0.04570360481739044)","('idiagnostictest', 0.04565354064106941)","('pophyconditon', 0.044949308037757874)","('posize', 0.044782377779483795)","('potreatment', 0.04000250995159149)","('poclinical', 0.03187617287039757)","('pomedhistory', 0.030430348590016365)","('prbehavior', 0.02997308410704136)"
10,"('iprocedure', 0.5772764086723328)","('otreatment', 0.10247088968753815)","('idiagnostic', 0.07110968232154846)","('opatient', 0.06785287708044052)","('posize', 0.06594330072402954)","('idiagnostictest', 0.059686824679374695)","('iss', 0.05842863768339157)","('prss', 0.05762188136577606)","('prdisease', 0.0562942735850811)","('podisease', 0.05463037267327309)","('poage', 0.052195578813552856)","('pogender', 0.04783003404736519)","('idisease', 0.04597325250506401)","('pophyconditon', 0.042653512209653854)","('poss', 0.039824604988098145)","('potreatment', 0.03254733979701996)","('poclinical', 0.03253112733364105)","('poprocedure', 0.031008360907435417)","('pomedhistory', 0.030854593962430954)","('prbehavior', 0.026562917977571487)"
11,"('iprocedure', 0.6904182434082031)","('otreatment', 0.09028961509466171)","('posize', 0.08881780505180359)","('idiagnostic', 0.07910917699337006)","('opatient', 0.06726426631212234)","('prdisease', 0.06590181589126587)","('iss', 0.06398992985486984)","('podisease', 0.060555897653102875)","('idiagnostictest', 0.059041913598775864)","('prss', 0.05778033286333084)","('pogender', 0.057595331221818924)","('poage', 0.05457797646522522)","('idisease', 0.05012338608503342)","('pophyconditon', 0.049588438123464584)","('poss', 0.04020896926522255)","('poclinical', 0.03910922631621361)","('poprocedure', 0.03530729189515114)","('potreatment', 0.034255728125572205)","('pomedhistory', 0.031875550746917725)","('prbehavior', 0.029241206124424934)"
12,"('otreatment', 0.6465030312538147)","('opatient', 0.1566610038280487)","('iprocedure', 0.09291499108076096)","('prdisease', 0.08006520569324493)","('prss', 0.07159560918807983)","('idiagnostic', 0.061379071325063705)","('podisease', 0.05970704182982445)","('iss', 0.05349656939506531)","('poage', 0.052216921001672745)","('idisease', 0.05040638521313667)","('poss', 0.04745808616280556)","('poprocedure', 0.04688584432005882)","('pogender', 0.0450831837952137)","('posize', 0.04485171288251877)","('idiagnostictest', 0.04467417672276497)","('pophyconditon', 0.04424566403031349)","('potreatment', 0.038637612015008926)","('poclinical', 0.031365372240543365)","('prbehavior', 0.029641831293702126)","('pomedhistory', 0.029076363891363144)"
13,"('iprocedure', 0.7075076103210449)","('posize', 0.12146168947219849)","('idiagnostic', 0.08205223828554153)","('otreatment', 0.07649938762187958)","('iss', 0.06945626437664032)","('podisease', 0.06658203899860382)","('pogender', 0.06542935222387314)","('prdisease', 0.06488998979330063)","('idiagnostictest', 0.0640585869550705)","('opatient', 0.06226924806833267)","('poage', 0.05870731920003891)","('prss', 0.0564088374376297)","('pophyconditon', 0.05197889730334282)","('idisease', 0.05172588676214218)","('poss', 0.044395752251148224)","('poclinical', 0.04356219246983528)","('potreatment', 0.03742844611406326)","('pomedhistory', 0.03557964041829109)","('poprocedure', 0.034848377108573914)","('prbehavior', 0.03229839727282524)"
14,"('iprocedure', 0.6707205772399902)","('posize', 0.1164877861738205)","('idiagnostic', 0.07627557963132858)","('otreatment', 0.0759422555565834)","('prdisease', 0.0680389404296875)","('podisease', 0.06639552861452103)","('iss', 0.06311671435832977)","('pogender', 0.061365608125925064)","('idiagnostictest', 0.060175471007823944)","('opatient', 0.057902827858924866)","('prss', 0.05331169068813324)","('poage', 0.05312620475888252)","('pophyconditon', 0.049463894218206406)","('idisease', 0.0479806624352932)","('poss', 0.03964043781161308)","('poclinical', 0.03928031399846077)","('potreatment', 0.033843863755464554)","('pomedhistory', 0.03251942992210388)","('poprocedure', 0.03200797364115715)","('prbehavior', 0.02955651842057705)"
15,"('otreatment', 0.22605066001415253)","('iprocedure', 0.14718200266361237)","('prdisease', 0.11193328350782394)","('opatient', 0.0752255991101265)","('podisease', 0.06579532474279404)","('idiagnostic', 0.05806864798069)","('posize', 0.05623434856534004)","('prss', 0.05475971847772598)","('iss', 0.050365835428237915)","('idiagnostictest', 0.04570026695728302)","('poage', 0.042917609214782715)","('poss', 0.041613705456256866)","('pogender', 0.03987324610352516)","('pophyconditon', 0.03757767751812935)","('idisease', 0.036926981061697006)","('poprocedure', 0.030280394479632378)","('potreatment', 0.026720374822616577)","('poclinical', 0.02562911994755268)","('pomedhistory', 0.025165537372231483)","('prbehavior', 0.018997715786099434)"
16,"('otreatment', 0.6749939322471619)","('opatient', 0.16418574750423431)","('iprocedure', 0.09643355756998062)","('prdisease', 0.08039698004722595)","('prss', 0.074528768658638)","('idiagnostic', 0.06337086856365204)","('podisease', 0.05716271325945854)","('iss', 0.056261610239744186)","('idisease', 0.05242840200662613)","('poage', 0.052425943315029144)","('poprocedure', 0.049312300980091095)","('poss', 0.04730482026934624)","('idiagnostictest', 0.04691413789987564)","('pogender', 0.04567499831318855)","('pophyconditon', 0.0447971485555172)","('posize', 0.04454189911484718)","('potreatment', 0.04051613435149193)","('poclinical', 0.03262128308415413)","('pomedhistory', 0.03088545799255371)","('prbehavior', 0.03058113157749176)"
17,"('iprocedure', 0.6306446194648743)","('otreatment', 0.09608888626098633)","('posize', 0.08014344424009323)","('idiagnostic', 0.07069458812475204)","('opatient', 0.0652083307504654)","('prdisease', 0.06450560688972473)","('iss', 0.058925237506628036)","('idiagnostictest', 0.05469788610935211)","('podisease', 0.05467198044061661)","('prss', 0.05466054752469063)","('pogender', 0.052766814827919006)","('poage', 0.04867800697684288)","('idisease', 0.04668391868472099)","('pophyconditon', 0.04386182129383087)","('poss', 0.03684931620955467)","('poclinical', 0.03467606380581856)","('poprocedure', 0.03156585991382599)","('potreatment', 0.031546153128147125)","('pomedhistory', 0.02969050407409668)","('prbehavior', 0.027220839634537697)"
18,"('posize', 0.23705536127090454)","('iprocedure', 0.22490808367729187)","('podisease', 0.11996056139469147)","('prdisease', 0.10428095608949661)","('otreatment', 0.08533782511949539)","('pogender', 0.08224091678857803)","('idiagnostic', 0.07511845976114273)","('poage', 0.06854402273893356)","('iss', 0.0678311437368393)","('pophyconditon', 0.0641394704580307)","('idiagnostictest', 0.055359527468681335)","('opatient', 0.05263516679406166)","('poss', 0.0479426346719265)","('idisease', 0.044454336166381836)","('potreatment', 0.042638324201107025)","('poclinical', 0.04064679890871048)","('prss', 0.03996209800243378)","('prbehavior', 0.03353560343384743)","('poprocedure', 0.032214343547821045)","('pomedhistory', 0.03189617767930031)"
19,"('iprocedure', 0.5522963404655457)","('otreatment', 0.0932983011007309)","('posize', 0.07101636379957199)","('idiagnostic', 0.07051592320203781)","('opatient', 0.06334438920021057)","('podisease', 0.056990236043930054)","('iss', 0.05684908479452133)","('idiagnostictest', 0.055548544973134995)","('prdisease', 0.05351746454834938)","('prss', 0.0527229830622673)","('poage', 0.0512709766626358)","('pogender', 0.04744897037744522)","('idisease', 0.04420221596956253)","('pophyconditon', 0.041290540248155594)","('poss', 0.0393911711871624)","('potreatment', 0.031720150262117386)","('poclinical', 0.031463317573070526)","('pomedhistory', 0.03045143000781536)","('poprocedure', 0.028013257309794426)","('prbehavior', 0.026861535385251045)"
20,"('otreatment', 0.24265392124652863)","('prdisease', 0.17757460474967957)","('iprocedure', 0.1706298142671585)","('podisease', 0.07904868572950363)","('opatient', 0.07470083236694336)","('posize', 0.07309316843748093)","('prss', 0.06442809849977493)","('idiagnostic', 0.06148836016654968)","('iss', 0.0520925335586071)","('pogender', 0.05124106630682945)","('idiagnostictest', 0.05099354684352875)","('poss', 0.04511144012212753)","('poage', 0.0423634871840477)","('pophyconditon', 0.04176706820726395)","('idisease', 0.04014527425169945)","('poprocedure', 0.03807929903268814)","('poclinical', 0.03154010698199272)","('potreatment', 0.028242914006114006)","('pomedhistory', 0.026866624131798744)","('prbehavior', 0.01964089646935463)"
21,"('iprocedure', 0.6045752763748169)","('posize', 0.08431966602802277)","('otreatment', 0.07736394554376602)","('idiagnostic', 0.07608503103256226)","('podisease', 0.06450206786394119)","('opatient', 0.06062944233417511)","('prdisease', 0.05958320572972298)","('iss', 0.05719420313835144)","('poage', 0.05551594868302345)","('idiagnostictest', 0.0538974292576313)","('pogender', 0.05212261527776718)","('prss', 0.05049619823694229)","('pophyconditon', 0.046200159937143326)","('idisease', 0.04391659051179886)","('poss', 0.03963887691497803)","('poclinical', 0.03352794796228409)","('potreatment', 0.032460957765579224)","('pomedhistory', 0.030210930854082108)","('poprocedure', 0.029566969722509384)","('prbehavior', 0.02769092656672001)"
22,"('otreatment', 0.4890642464160919)","('iprocedure', 0.12625323235988617)","('opatient', 0.11677370220422745)","('prdisease', 0.09340405464172363)","('prss', 0.0606168657541275)","('idiagnostic', 0.05705005303025246)","('podisease', 0.050750624388456345)","('iss', 0.04790602996945381)","('poage', 0.04428037256002426)","('posize', 0.04183299466967583)","('idiagnostictest', 0.04120010510087013)","('idisease', 0.04080471768975258)","('poprocedure', 0.040309615433216095)","('pogender', 0.03877811133861542)","('poss', 0.037807267159223557)","('pophyconditon', 0.03474585711956024)","('potreatment', 0.03054458275437355)","('poclinical', 0.026915619149804115)","('pomedhistory', 0.02412722073495388)","('prbehavior', 0.02289339154958725)"
23,"('posize', 0.44500625133514404)","('podisease', 0.2909669578075409)","('iprocedure', 0.21618737280368805)","('pogender', 0.1852324903011322)","('prdisease', 0.17232713103294373)","('poage', 0.15565025806427002)","('pophyconditon', 0.11666402220726013)","('idiagnostic', 0.10975077003240585)","('iss', 0.10690569877624512)","('poss', 0.10237576812505722)","('otreatment', 0.0853421613574028)","('idiagnostictest', 0.0741639956831932)","('poclinical', 0.07298929989337921)","('potreatment', 0.0683072879910469)","('opatient', 0.06693019717931747)","('prbehavior', 0.0646040067076683)","('idisease', 0.06191170588135719)","('poprocedure', 0.0602906309068203)","('prss', 0.05404534935951233)","('pomedhistory', 0.04594406113028526)"
24,"('iprocedure', 0.592668890953064)","('otreatment', 0.11794868856668472)","('posize', 0.07330258935689926)","('idiagnostic', 0.0691799744963646)","('opatient', 0.06825371831655502)","('prdisease', 0.06048383191227913)","('iss', 0.0572807677090168)","('prss', 0.055141646414995193)","('idiagnostictest', 0.05058242380619049)","('pogender', 0.0488668829202652)","('podisease', 0.04786117374897003)","('idisease', 0.04735300689935684)","('poage', 0.04581484571099281)","('pophyconditon', 0.041748177260160446)","('poclinical', 0.033808059990406036)","('poss', 0.0330822579562664)","('poprocedure', 0.0319310761988163)","('potreatment', 0.03072488307952881)","('pomedhistory', 0.02825789898633957)","('prbehavior', 0.02692849189043045)"
25,"('podisease', 0.31415507197380066)","('poage', 0.14852599799633026)","('poss', 0.1348351389169693)","('iprocedure', 0.13367345929145813)","('posize', 0.12155339866876602)","('otreatment', 0.0985964760184288)","('pophyconditon', 0.09381284564733505)","('prdisease', 0.09105080366134644)","('idiagnostic', 0.08789115399122238)","('pogender', 0.08541685342788696)","('iss', 0.07401970028877258)","('idiagnostictest', 0.07148813456296921)","('opatient', 0.06905090063810349)","('idisease', 0.05789126828312874)","('prss', 0.057329922914505005)","('potreatment', 0.0483134388923645)","('poprocedure', 0.046540118753910065)","('prbehavior', 0.04590311273932457)","('pomedhistory', 0.043022602796554565)","('poclinical', 0.03759566694498062)"
26,"('iprocedure', 0.5736235976219177)","('otreatment', 0.09151202440261841)","('posize', 0.09075415134429932)","('idiagnostic', 0.06804541498422623)","('opatient', 0.06032661721110344)","('prdisease', 0.05774785205721855)","('iss', 0.0558067187666893)","('podisease', 0.05417732894420624)","('idiagnostictest', 0.05283736437559128)","('pogender', 0.05033692345023155)","('poage', 0.048951830714941025)","('prss', 0.048472464084625244)","('idisease', 0.04420562833547592)","('pophyconditon', 0.04313671588897705)","('poss', 0.033607449382543564)","('poclinical', 0.03208853676915169)","('potreatment', 0.03016347438097)","('poprocedure', 0.028386738151311874)","('pomedhistory', 0.028042543679475784)","('prbehavior', 0.026591328904032707)"
