id,text,file_path,predicted_iprocedure,predicted_posize,predicted_podisease,predicted_otreatment,predicted_idiagnostic,predicted_opatient,predicted_prdisease,predicted_pogender,predicted_poage,predicted_idiagnostictest,predicted_iss,predicted_pophyconditon,predicted_poss,predicted_prss,predicted_poprocedure,predicted_potreatment,predicted_idisease,predicted_pomedhistory,predicted_prbehavior,predicted_poclinical,value_posize,value_podisease,value_iprocedure,value_iss,value_opatient,value_otreatment,value_prdisease,value_pogender,value_idiagnostic,value_idiagnostictest,value_poage,value_pophyconditon,value_idisease,value_prss,value_poss,value_potreatment,value_poprocedure,value_poclinical,value_prbehavior,value_pomedhistory,predicted_p,predicted_i,predicted_o,value_p,value_i,value_o
0,thus 70 patients group a and 56 patients group b entered the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.146998689,0.049194586,0.028627863,0.028033596,0.025419161,0.024255108,0.023704387,0.019531075,0.017702553,0.016682092,0.016621336,0.01571513,0.014336935,0.011589112,0.011035901,0.010665927,0.008974396,0.007450566,0.007226145,0.006810088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941579998,0.093677297,0.081459977,1,0,0
1,fifty five patients 44 had an acute infarction 37 67 of those also had undergone angioplasty and the remaining 71 patients 56 were enrolled after angioplasty only,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.072248496,0.065430298,0.108191296,0.025862847,0.034076255,0.029276704,0.044337235,0.033773504,0.049732912,0.025052907,0.02531315,0.032022603,0.027506063,0.015151548,0.016781973,0.013191253,0.015029917,0.013183745,0.009206795,0.008088242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944538951,0.09441898,0.061743978,1,0,0
2,patients 75 years old diabetics fasting blood glucose 125 mg dl patients with postcoronary artery bypass graft known malignant disease serious kidney or liver dysfunction creatimine 1 5 mg dl alanine aminotransferase and aspartate aminotransferase 2 times normal value or women of child bearing age not using a reliable form of contra ception were excluded,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.093419872,0.083216667,0.270623803,0.033323489,0.059939027,0.03664808,0.077754796,0.034015905,0.074563392,0.03094124,0.035874858,0.075403273,0.048214134,0.023273762,0.028147914,0.016040726,0.030624392,0.032823589,0.014190159,0.018499622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947733462,0.100232512,0.05609373,1,0,0
3,to achieve ldl cholesterol levels of 130 mg dl the pravastatin dosage was increased to 40 mg day and nicotinic acid 1 5 to 6 g day and or cholestyramine 4 to 32 g day were added if necessary,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.484428227,0.060135294,0.036070503,0.039574176,0.044347432,0.032613613,0.036746334,0.032785341,0.021810973,0.024336267,0.024879025,0.022982104,0.024995808,0.018661059,0.017172106,0.019936919,0.019396348,0.016334718,0.012844634,0.01776951,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063294776,0.946382403,0.086785376,0,1,0
4,a total of 4 patients died,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.063402764,0.04080876,0.034093533,0.03303403,0.022088185,0.025819201,0.024841947,0.017978506,0.01959092,0.015385988,0.016766096,0.017055131,0.013926169,0.011067504,0.010513017,0.00998096,0.008266158,0.007025397,0.00651531,0.005546823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235645175,0.721235454,0.055441603,0,1,0
5,pravastatin was effective in reducing cardiovascular events and in slowing the progression of atherosclerosis in primary and secondary prevention populations,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.043534376,0.031473968,0.038431767,0.568707645,0.034619797,0.100895211,0.046640821,0.02213301,0.023042783,0.023110989,0.036996,0.02950896,0.02330377,0.025594113,0.022070022,0.022320967,0.019596625,0.014520464,0.016570177,0.014623577,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053925496,0.063452519,0.952382743,0,0,1
6,in contrast the occurrence and extent of decreases in mld are lower with intensive therapy c compared with standard care d,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11113401_element.csv,0.040797789,0.030854417,0.034376722,0.492065758,0.032307267,0.09856429,0.039881449,0.019931205,0.021954622,0.02164904,0.034730945,0.02590226,0.021858329,0.022696387,0.019242812,0.01993035,0.016672131,0.012943194,0.014627817,0.012946917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925096,0.058323387,0.966467321,0,0,1
7,objective to compare the efficacy of oral with vaginal misoprostol for induction of labour at term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.043053322,0.03154343,0.041898392,0.049983785,0.022161989,0.028039092,0.031681549,0.017832136,0.02009156,0.015039853,0.018085795,0.019018069,0.014764514,0.01147949,0.010355326,0.010327056,0.008698638,0.007578683,0.006075063,0.005655708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945180595,0.08148995,0.086156011,1,0,0
8,a total of 160 women completed the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.080681056,0.052136999,0.034057938,0.028139623,0.024597671,0.026774164,0.025160309,0.019205829,0.022507863,0.01722241,0.017403334,0.017478036,0.015452101,0.01209627,0.011571242,0.010677626,0.008964774,0.007344189,0.007809919,0.005919166,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.942398429,0.079901591,0.084928982,1,0,0
9,exclusion criteria included previous uterine scar oligohydramnios amniotic uid index 2 5 th centile 19 intrauterine growth restriction estimated fetal weight 10 th centile 20 prelabour rupture of membranes multifetal pregnancy and cervix favourable for amniotomy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11212999_element.csv,0.08675874,0.080212422,0.235479638,0.030379023,0.057466492,0.034603681,0.072415322,0.032474618,0.072125822,0.029398037,0.032498546,0.06725204,0.044092305,0.02245516,0.026186122,0.015910542,0.027056394,0.029458774,0.01321955,0.015547406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94287312,0.10803102,0.05468354,1,0,0
