,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"('posize', 0.23067106306552887)","('iprocedure', 0.22281834483146667)","('podisease', 0.16480094194412231)","('otreatment', 0.12519130110740662)","('poage', 0.09460122138261795)","('opatient', 0.08910515159368515)","('idiagnostic', 0.08733779937028885)","('poss', 0.08234268426895142)","('prdisease', 0.07406565546989441)","('iss', 0.07097025960683823)","('pogender', 0.06593392044305801)","('pophyconditon', 0.06414239853620529)","('idiagnostictest', 0.06266378611326218)","('potreatment', 0.05543169006705284)","('prss', 0.05428772047162056)","('poclinical', 0.05359707772731781)","('idisease', 0.05204061418771744)","('pomedhistory', 0.05139446631073952)","('poprocedure', 0.043621379882097244)","('prbehavior', 0.03742656484246254)"
1,"('iprocedure', 0.2095014452934265)","('otreatment', 0.1616445630788803)","('podisease', 0.11732453107833862)","('opatient', 0.08139028400182724)","('posize', 0.08081229776144028)","('idiagnostic', 0.0792979747056961)","('poss', 0.07085971534252167)","('prdisease', 0.06595160067081451)","('pophyconditon', 0.06326965242624283)","('iss', 0.06052805110812187)","('poage', 0.05287220701575279)","('pogender', 0.04948030039668083)","('idiagnostictest', 0.04828084632754326)","('poprocedure', 0.047394439578056335)","('prss', 0.04491065442562103)","('idisease', 0.042765382677316666)","('poclinical', 0.041705332696437836)","('potreatment', 0.039334237575531006)","('pomedhistory', 0.03556874394416809)","('prbehavior', 0.03174688667058945)"
2,"('otreatment', 0.1944856345653534)","('iprocedure', 0.17305979132652283)","('podisease', 0.12823496758937836)","('idiagnostic', 0.08654393255710602)","('opatient', 0.08477984368801117)","('posize', 0.07518155127763748)","('prdisease', 0.07474416494369507)","('poss', 0.07362916320562363)","('pophyconditon', 0.06683147698640823)","('iss', 0.06534682214260101)","('poage', 0.05377569422125816)","('prss', 0.05254168063402176)","('poprocedure', 0.05248932167887688)","('idiagnostictest', 0.050112463533878326)","('idisease', 0.04892556369304657)","('pogender', 0.047878898680210114)","('poclinical', 0.04393845796585083)","('potreatment', 0.042493101209402084)","('prbehavior', 0.03541390597820282)","('pomedhistory', 0.03516439348459244)"
3,"('iprocedure', 0.5444136261940002)","('otreatment', 0.1372128427028656)","('podisease', 0.10469372570514679)","('idiagnostic', 0.10328646749258041)","('posize', 0.09454329311847687)","('opatient', 0.08576373755931854)","('prdisease', 0.08433931320905685)","('iss', 0.07389257103204727)","('poage', 0.0671267956495285)","('poss', 0.06526500731706619)","('idiagnostictest', 0.06512383371591568)","('pophyconditon', 0.06072964891791344)","('pogender', 0.05738237872719765)","('poclinical', 0.056545451283454895)","('idisease', 0.05034259706735611)","('pomedhistory', 0.04847000166773796)","('prss', 0.04773698002099991)","('poprocedure', 0.04727863892912865)","('potreatment', 0.04638276249170303)","('prbehavior', 0.03584694489836693)"
4,"('posize', 0.21703192591667175)","('iprocedure', 0.17012913525104523)","('podisease', 0.15438824892044067)","('otreatment', 0.1354808658361435)","('poage', 0.09480513632297516)","('opatient', 0.09256726503372192)","('poss', 0.0870174840092659)","('idiagnostic', 0.079960398375988)","('pogender', 0.07263661175966263)","('prdisease', 0.0704459473490715)","('pophyconditon', 0.06872598826885223)","('iss', 0.06864580512046814)","('idiagnostictest', 0.06342270225286484)","('potreatment', 0.05270262807607651)","('prss', 0.0526658296585083)","('poclinical', 0.05065731331706047)","('pomedhistory', 0.04989798367023468)","('idisease', 0.04947792366147041)","('poprocedure', 0.04877590760588646)","('prbehavior', 0.040569793432950974)"
5,"('otreatment', 0.39332568645477295)","('iprocedure', 0.14471746981143951)","('opatient', 0.121493399143219)","('prdisease', 0.11109483987092972)","('idiagnostic', 0.10252567380666733)","('podisease', 0.09622445702552795)","('poss', 0.08496774733066559)","('iss', 0.08407079428434372)","('pophyconditon', 0.08359669148921967)","('poprocedure', 0.07343508303165436)","('idisease', 0.07066182792186737)","('prss', 0.06887130439281464)","('posize', 0.06728988140821457)","('pogender', 0.06103142350912094)","('idiagnostictest', 0.06078777462244034)","('poage', 0.05957413464784622)","('potreatment', 0.04876362532377243)","('poclinical', 0.0479525625705719)","('pomedhistory', 0.04533101245760918)","('prbehavior', 0.04195952042937279)"
6,"('otreatment', 0.35592007637023926)","('iprocedure', 0.14720770716667175)","('opatient', 0.11744573712348938)","('prdisease', 0.10150184482336044)","('idiagnostic', 0.09930913150310516)","('podisease', 0.09695401787757874)","('pophyconditon', 0.08305215835571289)","('poss', 0.0805559754371643)","('iss', 0.07774173468351364)","('poprocedure', 0.0712713822722435)","('posize', 0.06362044811248779)","('idisease', 0.06279698759317398)","('prss', 0.06177246570587158)","('pogender', 0.05933426320552826)","('idiagnostictest', 0.058319564908742905)","('poage', 0.0560225285589695)","('potreatment', 0.04447110742330551)","('poclinical', 0.044336285442113876)","('pomedhistory', 0.041442546993494034)","('prbehavior', 0.03875774145126343)"
7,"('otreatment', 0.3549567759037018)","('iprocedure', 0.15363213419914246)","('opatient', 0.11437918990850449)","('prdisease', 0.104772187769413)","('idiagnostic', 0.10039269179105759)","('podisease', 0.09395252913236618)","('poss', 0.07872703671455383)","('iss', 0.07861302047967911)","('pophyconditon', 0.0781974047422409)","('poprocedure', 0.06961027532815933)","('idisease', 0.06456468999385834)","('posize', 0.06447942554950714)","('prss', 0.06379523128271103)","('idiagnostictest', 0.058734942227602005)","('poage', 0.05628634989261627)","('pogender', 0.05617383122444153)","('poclinical', 0.044782113283872604)","('potreatment', 0.044751767069101334)","('pomedhistory', 0.04187093302607536)","('prbehavior', 0.03891110047698021)"
8,"('posize', 0.3062847852706909)","('iprocedure', 0.2019481211900711)","('podisease', 0.16580453515052795)","('otreatment', 0.13076075911521912)","('poage', 0.11543639004230499)","('opatient', 0.105470210313797)","('poss', 0.08933929353952408)","('idiagnostic', 0.08877287060022354)","('pogender', 0.08685524016618729)","('prdisease', 0.08063266426324844)","('idiagnostictest', 0.07547812908887863)","('iss', 0.07495871931314468)","('pophyconditon', 0.0715687945485115)","('pomedhistory', 0.06229722872376442)","('potreatment', 0.06171295791864395)","('poclinical', 0.06050778925418854)","('prss', 0.05682399496436119)","('idisease', 0.055999506264925)","('poprocedure', 0.04898015037178993)","('prbehavior', 0.04549159109592438)"
9,"('iprocedure', 0.19713474810123444)","('otreatment', 0.15984848141670227)","('podisease', 0.13334667682647705)","('idiagnostic', 0.08296901732683182)","('opatient', 0.08117706328630447)","('posize', 0.08091738075017929)","('poss', 0.07619733363389969)","('pophyconditon', 0.06883790343999863)","('prdisease', 0.06770224869251251)","('iss', 0.06104237958788872)","('poage', 0.056507695466279984)","('idiagnostictest', 0.05218759551644325)","('prss', 0.04907967522740364)","('poprocedure', 0.048817310482263565)","('pogender', 0.04867526888847351)","('poclinical', 0.04455547779798508)","('idisease', 0.04412268474698067)","('potreatment', 0.04220191761851311)","('pomedhistory', 0.03671124577522278)","('prbehavior', 0.03445105627179146)"
